Contains 'g' Schmidt semi-normalized spherical harmonic coefficients for Cassini 11+ internal field model of Saturn in gauss (G), organized as g_mn, so that each row represents a single n and each column a single m. See https://doi.org/10.1016/j.icarus.2019.113541
       g0n,       g1n,       g2n,       g3n,       g4n,       g5n,       g6n,       g7n,       g8n,       g9n,      g10n,      g11n,      g12n,      g13n,      g14n
  0.211410,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.015830,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.022620,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000950,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000103,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000174,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000688,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000155,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000242,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000090,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000113,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000028,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000024,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000008,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
